Abk;Kurzname;Ländercode;Locationcode;Gültig ab
XNTH;`t Harde;;;
YMMBM;6,1/60,3 Bad MGH;DE;10492;2008-12-14
KA;Aachen Hbf;DE;10002;2008-12-14
KASZ;Aachen Schanz;DE;10004;2008-12-14
KAS;Aachen Süd;DE;10005;2008-12-14
KXA;Aachen Süd Gr;DE;10006;2008-12-14
KAW;Aachen West;DE;10007;2008-12-14
KAW G;Aachen West Gbf;DE;10008;2008-12-14
KXAW;Aachen West Gr;DE;10009;2008-12-14
KAW P;Aachen West Pbf;DE;10010;2008-12-14
KAW W;Aachen West Wk;DE;10011;2008-12-14
KAG;Aachen-Gemmenich;DE;10012;2008-12-14
XDA;Aalborg;;;
XDAV;Aalborg Vestby;;;
TA;Aalen;DE;10017;2008-12-14
XBAAL;Aalter;;;
XSA;Aarau;;;
XSABO;Aarburg-Oftring;;;
XDAR;Aarhus H;;;
XDARH;Aarhus Havn;;;
XMAA;Abaliget;;;
XCAB;Abdulino;;;
HABZ;Abelitz;DE;10018;2008-12-14
KAB;Abenden;;;
MABG;Abensberg;DE;10020;2008-12-14
XMAH;Abrahamhegy;;;
NAHF;Aburg Hochschule;DE;10303;2013-06-12
NAH G;Aburg-Goldbach;DE;10302;2013-06-12
EDOBZ;Abzw Dbw;DE;12334;2008-12-14
HACC;Accum;DE;10021;2009-12-13
XFAC;Acheres Triage;;;
RAH;Achern;DE;10022;2008-12-14
RAH H;Achern      Bstg;DE;10023;2010-12-12
RAH F;Achern (F);DE;10024;2008-12-14
RAHG;Achern DB/SWEG;DE;10025;2009-12-13
XFAH;Achiet;;;
HACH;Achim;DE;10026;2008-12-14
HQAC;Achim NI/HB;DE;10027;2008-12-14
RAK;Achkarren;;;
HAMR;Achmer;DE;10028;2008-12-14
HQAM;Achmer NI/NRW;DE;10029;2008-12-14
XNAT;Acht;;;
AACW;Achterwehr;DE;10031;2013-05-16
XIAA;Acireale;;;
XIAQT;Acqui Terme;;;
KAREG;Ac-Rothe E Gbf;DE;10015;2008-12-14
KAREP;Ac-Rothe E Pbf;DE;10016;2008-12-14
KARE;Ac-Rothe Erde;DE;10013;2008-12-14
XFAD;Adamswiller;;;
HADB;Adelebsen;DE;10034;2008-12-14
HADH;Adelheide;;;
MAD;Adelschlag;DE;10035;2008-12-14
NADM;Adelsdf/Mittelfr;DE;10036;2008-12-14
RADN;Adelsheim Nord;DE;10037;2008-12-14
TAD;Adelsheim Ost;DE;10038;2008-12-14
AADF;Adendorf;DE;10040;2008-12-14
XUAJ;Adjud;;;
XCAD;Adler;;;
DADO;Adorf (Erzg);DE;10041;2008-12-14
DADG;Adorf (V) DB-Gr;DE;10043;2013-02-27
DAD;Adorf (Vogtl);DE;10042;2008-12-14
TAF;Affaltrach;DE;10044;2008-12-14
XSAA;Affoltern Albis;;;
XSAW;Affoltern-Weier;;;
MAGD;Agatharied;DE;10045;2008-12-14
AABG;Agathenburg;DE;10046;2008-12-14
XFAG;Agde;;;
RAG;Aglasterhausen;DE;10047;2009-08-01
XIACC;Agliano-C C;;;
XIAG;Agrigento Centr.;;;
RA;Aha;DE;10048;2008-12-14
EAHS;Ahaus;DE;10049;2008-12-14
HAHN;Ahausen;;;
WABG;Ahlbeck Grenze;DE;10050;2008-12-14
WABO;Ahlbeck Ostseeth;DE;10051;2008-12-14
HAHM;Ahlem;DE;10053;2008-12-14
EAHL;Ahlen (Westf);DE;10054;2008-12-14
EAHLG;Ahlen Gbf;DE;10055;2008-12-14
EAHLH;Ahlen Notbstg;DE;10056;2009-12-13
HAHO;Ahlhorn;DE;10057;2008-12-14
HAH;Ahlshausen;DE;10058;2008-12-14
HALT;Ahlten;DE;10059;2008-12-14
FATC;Ahnatal-Casselbr;DE;10060;2011-12-11
FHEH;Ahnatal-Heckersh;DE;10061;2011-12-11
FWEI;Ahnatal-Weimar;DE;10062;2011-12-11
MAHN;Ahrain;DE;10063;2008-12-14
KBRU;Ahrbrück;DE;10064;2013-06-12
AAHR;Ahrensburg;DE;10066;2008-12-14
AAHN;Ahrensburg Nord;DE;10067;2008-12-14
AQAH;Ahrensburg SH/HH;DE;10068;2008-12-14
AAHG;Ahrensburg-Gh;DE;10069;2009-12-13
BAFR;Ahrensf Friedhof;DE;10073;2008-12-14
BAFN;Ahrensf Nord;DE;10074;2008-12-14
AARF;Ahrensfelde;;;
BAHR;Ahrensfelde;DE;10070;2008-12-14
BAF;Ahrensfelde  S-B;DE;10071;2008-12-14
BQAH;Ahrensfelde LGr;DE;10072;2008-12-14
KAH;Ahrweiler;DE;10075;2008-12-14
KAHM;Ahrweiler Markt;DE;10076;2008-12-14
MAIC;Aich/Nbay;DE;10077;2008-12-14
MAI;Aichach;DE;10078;2008-12-14
TAI;Aichstetten;DE;10079;2008-12-14
XCAI;Aidyrlia;;;
XSAL;Aigle;;;
XFAB;Aigueblanche;;;
XFAM;Aime-la-Plagne;;;
MAIN;Ainring;DE;10083;2008-12-14
MAIL;Aipl;;;
XIAE;Airole;;;
XSAI;Airolo;;;
TAIB;Aischbach;DE;19714;2008-12-14
MAIT;Aitrang;DE;10084;2008-12-14
XFAX;Aix-en-Prov TGV;;;
XFAI;Aix-les-Bains;;;
XMAJ;Ajka;;;
XMAG;Ajka-Gyartelep;;;
LAK;Aken (Elbe);DE;10085;2012-11-01
XOA;Al;;;
XIAL;Ala;;;
XIAO;Alassio;;;
XIALB;Alba;;;
XIALA;Alba Adriatica;;;
XUAI;Alba Iulia;;;
XIAT;Albate Camerlata;;;
RAL;Albbruck;DE;10086;2008-12-14
XIAB;Albenga;;;
AAL;Albersdorf;DE;10087;2008-12-14
EABL;Albersloh;;;
RAR;Albersweiler(Pf);DE;10088;2008-12-14
XFAL;Albertville;;;
FAG;Albig;DE;10090;2008-12-14
